Date,Open,High,Low,Close,Adj Close,Volume
2010-02-25,605.000000,606.400024,587.200012,593.349976,454.364197,60316
2010-02-26,590.000000,612.799988,586.000000,594.950012,455.589508,87137
2010-03-02,599.799988,621.049988,596.250000,610.000000,467.114166,116061
2010-03-03,612.000000,617.000000,598.049988,603.049988,461.792114,71753
2010-03-04,608.700012,613.250000,587.099976,593.500000,454.479095,76056
2010-03-05,598.950012,604.000000,585.299988,587.200012,449.654755,36004
2010-03-08,598.000000,603.000000,587.299988,589.950012,451.760651,24863
2010-03-09,594.799988,601.000000,585.349976,590.549988,452.220001,34096
2010-03-10,589.799988,606.799988,588.250000,593.450012,454.440765,69787
2010-03-11,592.000000,599.000000,585.599976,590.049988,451.837158,42018
2010-03-12,597.000000,603.000000,587.000000,589.500000,451.416107,205119
2010-03-15,594.000000,595.000000,582.000000,582.950012,446.400330,44042
2010-03-16,587.500000,588.000000,575.000000,577.599976,442.303558,67733
2010-03-17,583.000000,589.950012,573.000000,573.950012,439.508484,357683
2010-03-18,579.200012,579.200012,571.200012,572.549988,438.436371,23261
2010-03-19,578.700012,581.299988,571.549988,574.849976,440.197693,100941
2010-03-22,590.000000,597.799988,566.150024,573.099976,438.857574,47466
2010-03-23,582.000000,582.000000,568.349976,568.950012,435.679596,37643
2010-03-25,569.000000,573.700012,561.250000,564.599976,432.348511,56634
2010-03-26,569.950012,582.000000,566.200012,573.900024,439.470123,93076
2010-03-29,576.900024,604.799988,574.950012,598.200012,458.078278,204170
2010-03-30,600.000000,629.000000,596.599976,614.299988,470.406921,443964
2010-03-31,622.000000,629.849976,597.250000,604.150024,462.634521,162572
2010-04-01,592.299988,611.450012,592.299988,606.200012,464.204254,51953
2010-04-05,613.150024,622.000000,608.000000,620.250000,474.963104,65879
2010-04-06,630.000000,630.000000,611.150024,615.549988,471.364105,68258
2010-04-07,624.000000,624.000000,611.000000,612.500000,469.028534,65507
2010-04-08,597.150024,619.650024,597.150024,615.049988,470.981262,102162
2010-04-09,584.299988,628.400024,584.299988,611.799988,468.492493,118769
2010-04-12,612.000000,631.500000,611.000000,628.000000,480.897797,127094
2010-04-13,635.000000,635.000000,626.049988,630.250000,482.620758,86918
2010-04-15,628.000000,636.650024,626.000000,631.099976,483.271698,86694
2010-04-16,629.000000,630.000000,611.000000,618.900024,473.929443,89343
2010-04-19,614.000000,640.000000,605.000000,627.799988,480.744720,73447
2010-04-20,634.000000,640.000000,623.000000,625.650024,479.098328,42636
2010-04-21,631.900024,642.000000,617.000000,637.700012,488.325714,85515
2010-04-22,642.799988,656.000000,633.000000,647.000000,495.447357,282771
2010-04-23,647.200012,664.000000,645.000000,657.400024,503.411133,140476
2010-04-26,667.799988,684.700012,665.000000,674.049988,516.161133,158585
2010-04-27,662.299988,678.000000,656.000000,658.849976,504.521545,63386
2010-04-28,650.099976,650.099976,621.250000,623.650024,477.566864,115401
2010-04-29,634.000000,640.000000,617.000000,620.950012,475.499268,63194
2010-04-30,630.000000,634.799988,625.400024,627.349976,480.400085,41083
2010-05-03,605.799988,640.000000,605.799988,627.700012,480.668182,25969
2010-05-04,610.099976,660.000000,610.099976,642.150024,491.733276,232900
2010-05-05,625.000000,691.799988,618.000000,666.000000,509.996674,581102
2010-05-06,671.000000,678.950012,649.000000,654.000000,500.807617,136686
2010-05-07,643.000000,659.000000,633.700012,641.099976,490.929260,66113
